uniqueid,country,year,location_type,cellphone_access,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,household_size,age_of_respondent,bank_account
uniqueid_1,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Secondary education,Self employed,3,24,1
uniqueid_2,Kenya,2018,Rural,No,Female,Head of Household,Widowed,No formal education,Government Dependent,5,70,0
uniqueid_3,Kenya,2018,Urban,Yes,Male,Other relative,Single/Never Married,Vocational/Specialised training,Self employed,5,26,1
uniqueid_4,Kenya,2018,Rural,Yes,Female,Head of Household,Married/Living together,Primary education,Formally employed Private,5,34,0
uniqueid_5,Kenya,2018,Urban,No,Male,Child,Single/Never Married,Primary education,Informally employed,8,26,0
uniqueid_6,Kenya,2018,Rural,No,Female,Spouse,Married/Living together,Primary education,Informally employed,7,26,0
uniqueid_7,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Self employed,7,32,0
uniqueid_8,Kenya,2018,Rural,Yes,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government,1,42,0
uniqueid_9,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,3,54,1
uniqueid_10,Kenya,2018,Urban,Yes,Female,Head of Household,Divorced/Seperated,No formal education,Remittance Dependent,3,76,0
uniqueid_11,Kenya,2018,Rural,Yes,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing,5,40,0
uniqueid_12,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Secondary education,Other Income,3,69,1
uniqueid_13,Kenya,2018,Rural,No,Female,Head of Household,Widowed,No formal education,Farming and Fishing,6,64,0
uniqueid_14,Kenya,2018,Rural,No,Female,Spouse,Married/Living together,Primary education,Self employed,8,31,0
uniqueid_15,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,4,26,0
uniqueid_16,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,7,38,0
uniqueid_17,Kenya,2018,Urban,Yes,Female,Head of Household,Married/Living together,Secondary education,Self employed,1,47,0
uniqueid_18,Kenya,2018,Rural,Yes,Female,Head of Household,Married/Living together,Secondary education,Self employed,6,27,1
uniqueid_19,Kenya,2018,Urban,Yes,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private,1,48,0
uniqueid_20,Kenya,2018,Rural,No,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,4,25,0
uniqueid_21,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,4,26,0
uniqueid_22,Kenya,2018,Urban,Yes,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed,1,32,1
uniqueid_23,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Secondary education,Self employed,4,34,0
uniqueid_24,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Secondary education,Informally employed,3,21,0
uniqueid_25,Kenya,2018,Urban,No,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,7,18,0
uniqueid_26,Kenya,2018,Rural,Yes,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,5,22,0
uniqueid_27,Kenya,2018,Rural,No,Male,Child,Married/Living together,Primary education,Self employed,8,26,0
uniqueid_28,Kenya,2018,Urban,Yes,Female,Head of Household,Single/Never Married,Primary education,Informally employed,1,31,0
uniqueid_29,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,4,26,0
uniqueid_30,Kenya,2018,Rural,No,Female,Head of Household,Widowed,No formal education,Remittance Dependent,7,58,0
uniqueid_31,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Secondary education,Informally employed,5,55,0
uniqueid_32,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Secondary education,Self employed,5,38,0
uniqueid_33,Kenya,2018,Urban,Yes,Female,Spouse,Married/Living together,Primary education,Formally employed Government,4,62,1
uniqueid_34,Kenya,2018,Rural,Yes,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,3,29,0
uniqueid_35,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,10,42,0
uniqueid_36,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,Primary education,Informally employed,5,48,0
uniqueid_37,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,4,35,0
uniqueid_38,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,5,45,0
uniqueid_39,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,8,45,0
uniqueid_40,Kenya,2018,Rural,No,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,3,70,0
uniqueid_41,Kenya,2018,Rural,Yes,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,6,67,0
uniqueid_42,Kenya,2018,Urban,Yes,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,4,19,0
uniqueid_43,Kenya,2018,Rural,Yes,Male,Head of Household,Widowed,Primary education,Remittance Dependent,3,80,1
uniqueid_44,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,2,66,0
uniqueid_45,Kenya,2018,Urban,No,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private,1,31,0
uniqueid_46,Kenya,2018,Rural,Yes,Female,Head of Household,Single/Never Married,Primary education,Self employed,1,50,0
uniqueid_47,Kenya,2018,Rural,No,Female,Head of Household,Single/Never Married,Primary education,Informally employed,3,29,0
uniqueid_48,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Vocational/Specialised training,Farming and Fishing,4,33,0
uniqueid_49,Kenya,2018,Urban,Yes,Female,Child,Married/Living together,Vocational/Specialised training,Self employed,4,28,0
uniqueid_50,Kenya,2018,Urban,Yes,Male,Child,Single/Never Married,Secondary education,Farming and Fishing,3,28,0
uniqueid_51,Kenya,2018,Urban,Yes,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed,3,26,0
uniqueid_52,Kenya,2018,Urban,Yes,Female,Head of Household,Single/Never Married,Secondary education,Self employed,2,51,0
uniqueid_53,Kenya,2018,Urban,No,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent,5,16,0
uniqueid_54,Kenya,2018,Rural,Yes,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent,2,17,0
uniqueid_55,Kenya,2018,Urban,Yes,Female,Head of Household,Single/Never Married,Secondary education,Self employed,1,22,1
uniqueid_56,Kenya,2018,Rural,Yes,Female,Head of Household,Widowed,Primary education,Farming and Fishing,3,66,0
uniqueid_57,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government,6,50,1
uniqueid_58,Kenya,2018,Urban,Yes,Male,Head of Household,Married/Living together,Primary education,Informally employed,4,33,0
uniqueid_59,Kenya,2018,Rural,Yes,Male,Child,Single/Never Married,Other/Dont know/RTA,Informally employed,11,21,0
uniqueid_60,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Secondary education,Informally employed,5,30,0
uniqueid_61,Kenya,2018,Rural,Yes,Female,Head of Household,Divorced/Seperated,Primary education,Self employed,8,30,0
uniqueid_62,Kenya,2018,Rural,No,Female,Head of Household,Widowed,No formal education,Informally employed,1,67,0
uniqueid_63,Kenya,2018,Rural,Yes,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,3,50,0
uniqueid_64,Kenya,2018,Urban,Yes,Female,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent,1,25,1
uniqueid_65,Kenya,2018,Rural,Yes,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,6,25,0
uniqueid_66,Kenya,2018,Urban,No,Female,Spouse,Married/Living together,Primary education,Informally employed,3,30,0
uniqueid_67,Kenya,2018,Rural,No,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed,1,37,0
uniqueid_68,Kenya,2018,Urban,Yes,Female,Head of Household,Married/Living together,Primary education,Self employed,1,30,1
